#,Questions,Reference SPARQL Query,Complexity
37," ""Which lab extracts from Melochia umbellata yield compounds that, when analyzed in positive ionization mode LCMS, have a retention time of less than 6 minutes and demonstrate an inhibition percentage greater than 70% in bioassay results? Provide lab extracts, retention times and inhibition percentage.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
PREFIX ns2: <https://enpkg.commons-lab.org/module/>
PREFIX wd: <http://www.wikidata.org/entity/>

SELECT ?labExtract ?retentionTime ?inhibitionPercentage
WHERE {
    ?rawMaterial ns1:has_wd_id wd:Q6813281 .
    ?rawMaterial ns1:has_lab_process ?labExtract .
    ?labExtract ns1:has_LCMS ?analysis .
    ?analysis a ns1:LCMSAnalysisPos .
    ?analysis ns1:has_lcms_feature_list ?featureList .
    ?featureList ns1:has_lcms_feature ?feature .
    ?feature ns1:has_retention_time ?retentionTime .
    FILTER(?retentionTime < 6)
    ?labExtract ns2:has_bioassay_results ?bioAssayResult .
    ?bioAssayResult ns2:inhibition_percentage ?inhibitionPercentage .
    FILTER(?inhibitionPercentage > 70)
}",Medium
38," ""Provide the wikidata ids of the chemical entities annotated by SIRIUS for Tabernaemontana coffeoides seeds extract taxon obtained in positive mode which are also reported in the Tabernaemontana genus in Wikidata.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
PREFIX ns2: <https://enpkg.commons-lab.org/module/>

SELECT ?wd_id
WHERE {
    ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q15376858> .
    ?rawMaterial ns1:has_lab_process ?labExtract .
    ?labExtract ns1:has_LCMS ?lcmsAnalysis .
    ?lcmsAnalysis a ns1:LCMSAnalysisPos .
    ?lcmsAnalysis ns1:has_lcms_feature_list ?featureList .
    ?featureList ns1:has_lcms_feature ?feature .
    ?feature ns1:has_sirius_annotation ?annotation .
    ?annotation ns1:has_InChIkey2D ?inchiKey2D .
    ?inchiKey2D ns1:is_InChIkey2D_of ?chemicalEntity .
    ?chemicalEntity ns1:has_wd_id ?wd_id .
}",High
39," ""What is the highest inhibition percentage recorded for compounds observed in Rauvolfia vomitoria extract?""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>
  PREFIX wd: <http://www.wikidata.org/entity/>

  SELECT ?inhibition_percentage
  WHERE {
      ?rawMaterial ns1:has_wd_id wd:Q5225969 .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns2:has_bioassay_results ?bioAssayResult .
      ?bioAssayResult ns2:inhibition_percentage ?inhibition_percentage .
  }
  ORDER BY DESC(?inhibition_percentage)
  LIMIT 1",Low
40," ""List the bioassay results at 10µg/mL against T.cruzi for lab extracts of Tabernaemontana coffeoides.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
PREFIX ns2: <https://enpkg.commons-lab.org/module/>
PREFIX wd: <http://www.wikidata.org/entity/>

SELECT ?labExtract ?bioAssayResult
WHERE {
    ?rawMaterial ns1:has_wd_id wd:Q15376858 .
    ?rawMaterial ns1:has_lab_process ?labExtract .
    ?labExtract ns2:has_bioassay_results ?bioAssayResult .
    ?bioAssayResult a ns2:Tcruzi10ugml .
}",Medium
41,"""For the LC-MS feature observed in the extracts of Tabernaemontana coffeoides, retrieve those that are annotated with a NPCPathways with CANOPUS.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?feature
  WHERE {
      ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q15376858> .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?analysis .
      ?analysis ns1:has_lcms_feature_list ?feature_list .
      ?feature_list ns1:has_lcms_feature ?feature .
      ?feature ns1:has_canopus_annotation ?annotation .
      ?annotation ns1:has_canopus_npc_pathway ?npcPathway .
  }",Medium
42," ""List the tissue types used to produce the lab extracts of Tabernaemontana coffeoides. Provide the tissue types and lab extracts. ""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
PREFIX ns2: <https://enpkg.commons-lab.org/module/>

SELECT ?tissue ?labExtract
WHERE {
    ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q15376858> .
    ?rawMaterial ns1:has_lab_process ?labExtract .
    ?rawMaterial ns2:has_tissue ?tissue .
}",Low
43,"""Retrieve the mass differences and cosine similarity scores for spectral pairs involving MS2 spectra from Desmodium heterophyllum.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>

  SELECT ?mass_difference ?cosine
  WHERE {
      ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q10770714> .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?lcmsAnalysis .
      ?lcmsAnalysis ns1:has_lcms_feature_list ?featureList .
      ?featureList ns1:has_lcms_feature ?feature .
      ?spectralPair ns1:has_member ?feature .
      ?spectralPair ns1:has_mass_difference ?mass_difference .
      ?spectralPair ns1:has_cosine ?cosine .
  }",High
44," ""Retrieve the top 5 tissues used to produce lab extracts that contain compounds with inhibition activity greater than 70% against Leishmania donovani target at 10 µg/mL""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
PREFIX ns2: <https://enpkg.commons-lab.org/module/>

SELECT ?tissue (COUNT(?labExtract) AS ?count)
WHERE {
    ?labExtract ns2:has_bioassay_results ?bioAssayResult .
    ?bioAssayResult ns2:inhibition_percentage ?inhibitionPercentage ;
                    ns2:target_id <https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL367> .
    FILTER(?inhibitionPercentage > 70)
    ?rawMaterial ns1:has_lab_process ?labExtract ;
                 ns2:has_tissue ?tissue .
}
GROUP BY ?tissue
ORDER BY DESC(?count)
LIMIT 5",High
45," ""Retrieve the Wikidata IDs   of chemical entities classified as Terpenoids in the lab extracts of Tabernaemontana coffeoides.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>

  SELECT ?wd_id
  WHERE {
      ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q15376858> .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?analysis .
      ?analysis ns1:has_lcms_feature_list ?feature_list .
      ?feature_list ns1:has_lcms_feature ?feature .
      ?feature ns1:has_sirius_annotation ?annotation .
      ?annotation ns1:has_InChIkey2D ?InChIkey2D .
      ?InChIkey2D ns1:is_InChIkey2D_of ?chemicalEntity .
      ?chemicalEntity ns1:has_npc_pathway <https://enpkg.commons-lab.org/kg/npc_Terpenoids> .
      ?chemicalEntity ns1:has_wd_id ?wd_id .
  }",High
46,"""What are the CANOPUS annotations for pairs of features from Desmodium heterophyllum extracts that share a cosine similarity score greater than 0.8? Provide the features, and annotations""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?feature1 ?feature2 ?annotation1 ?annotation2 
  WHERE {
      ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q10770714> .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?analysis .
      ?analysis ns1:has_lcms_feature_list ?featureList .
      ?featureList ns1:has_lcms_feature ?feature1, ?feature2 .
      ?pair ns1:has_member ?feature1, ?feature2 .
      ?pair ns1:has_cosine ?cosine .
      FILTER(?cosine > 0.8)
      ?feature1 ns1:has_canopus_annotation ?annotation1 .
      ?feature2 ns1:has_canopus_annotation ?annotation2 .
  }",High
47,"""Which ChEMBL documents cited in ChEMBL assay results involve compounds (identified by InChIKeys) that are also observed in SIRIUS structural annotations within lab extracts, and which lab extracts contain the highest number of these shared compounds?","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?chemblDocument ?labExtract (COUNT(?InChIkey2D) AS ?sharedCompoundCount)
  WHERE {
      ?labExtract ns1:has_LCMS ?analysis .
      ?analysis ns1:has_lcms_feature_list ?featureList .
      ?featureList ns1:has_lcms_feature ?feature .
      ?feature ns1:has_sirius_annotation ?siriusAnnotation .
      ?siriusAnnotation ns1:has_InChIkey2D ?InChIkey2D .

      ?InChIkey2D ns1:is_InChIkey2D_of ?chemicalEntity .
      ?chemicalEntity ns2:has_chembl_id ?chemblChemical .

      ?chemblChemical ns2:has_chembl_activity ?assayResult .
      ?assayResult ns2:stated_in_document ?chemblDocument .
  }
  GROUP BY ?chemblDocument ?labExtract
  ORDER BY DESC(?sharedCompoundCount)",High
48," “What are the ChEMBL targets
linked to ChEMBL assay results for chemicals sharing InChIKeys with SIRIUS structural annotations ?""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?chembl_target
  WHERE {
      ?sirius_annotation ns1:has_InChIkey2D ?InChIkey2D .
      ?InChIkey2D ns1:is_InChIkey2D_of ?InChIkey .
      ?InChIkey ns2:has_chembl_id ?chembl_chemical .
      ?chembl_chemical ns2:has_chembl_activity ?chembl_assay_results .
      ?chembl_assay_results ns2:target_id ?chembl_target .
  }",High
49,"""What are SIRIUS structural annotations for LCMS features with cosmic scores above 0.3 associated with Tabernaemontana coffeoides? Report their ZODIAC scores. ""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?cosmic_score ?zodiac_score
  WHERE {
      ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q15376858> .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?analysis .
      ?analysis ns1:has_lcms_feature_list ?feature_list .
      ?feature_list ns1:has_lcms_feature ?feature .
      ?feature ns1:has_sirius_annotation ?siriusAnnotation .
      ?siriusAnnotation ns1:has_cosmic_score ?cosmic_score .
 FILTER (?cosmic_score > 0.3)   
                 ?siriusAnnotation    ns1:has_zodiac_score ?zodiac_score .
  }",High
50,""" Which lab extracts have bioassay results with inhibition percentages above 50% against Leishmania donovani target at 10 µg/mL ??""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
PREFIX ns2: <https://enpkg.commons-lab.org/module/>

SELECT ?labExtract
WHERE {
    ?labExtract ns2:has_bioassay_results ?bioAssayResult .
    ?bioAssayResult ns2:inhibition_percentage ?inhibitionPercentage ;
                    ns2:target_id <https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL367> .
  ?bioAssayResult a ns2:Ldono10ugml.
  FILTER(?inhibitionPercentage > 50)
}",Medium
